ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	6.1930377944e-04	6.1624119476e-04	1.6938804394e+02	     6	1.7702355003e-01	1.5875572496e-01	2.1855394935e+02
  4	    24	2.6226754243e-05	2.4739548983e-05	1.9052197908e+02	    15	1.8546065723e-04	1.9345431214e-04	3.3949768490e+02
  6	    44	1.7659461432e-07	1.5695952917e-07	2.1203054577e+02	    28	1.6458955157e-04	1.6065054643e-04	3.2347441375e+02
  8	    64	1.7092057367e-10	1.5743777920e-10	2.4162751939e+02	    43	3.6319436310e-07	3.5816138788e-07	3.7020359887e+02
 10	    96	1.2716357272e-13	1.1610454169e-13	2.5027923420e+02	    66	4.1607283113e-09	4.1859504624e-09	3.0089864406e+02
 12	   128	1.4750117557e-14	2.0404231422e-14	2.4378011631e+02	    91	3.8924609027e-12	3.8438596381e-12	3.2610360749e+02
 14	   168	1.8531029130e-14	5.0125323765e-14	2.4128788999e+02	   120	1.7486412075e-14	5.5325046147e-14	3.5275185577e+02
 16	   208	1.5418971763e-14	2.9619816196e-14	2.3885974458e+02	   153	1.5677241376e-14	2.6923295953e-14	3.0314399743e+02
 18	   264	5.5653306706e-14	1.5273883255e-13	2.4411219394e+02	   190	2.8735048853e-14	4.9511278437e-14	3.0525739711e+02
 20	   312	5.0025901825e-14	6.9579828013e-14	2.6981782317e+02	   231	2.9418939989e-14	4.6960058470e-14	3.3998933962e+02
 22	   372	6.3922717282e-14	1.0569472946e-13	2.4421350296e+02	   276	2.1140337637e-14	4.0959875971e-14	3.2514105157e+02
 24	   436	9.1283333590e-14	2.0911874951e-13	2.3829556762e+02	   325	1.6781547762e-14	2.7572805381e-14	3.1552711188e+02
 26	   520	2.4210781165e-14	5.9909014573e-14	2.8289269853e+02	   378	1.9936008522e-14	3.8544529613e-14	3.7341359287e+02
 28	   600	3.4169343110e-14	9.5314735821e-14	2.4928758065e+02	   435	4.1806542113e-14	2.1147176049e-13	3.3450810039e+02
 30	   684	4.9478605064e-14	2.3029544389e-13	2.5909787581e+02	   496	2.1276985892e-14	3.9228882357e-14	3.6597771761e+02
