ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	6.3222416480e-02	5.2244862459e-02	2.4636582463e+01	     6	1.1924090484e+00	8.4935050308e-01	6.7192461230e+00
  4	    24	1.6938585950e-02	1.3378850160e-02	2.8561518450e+01	    15	1.4615242714e-01	1.3506242461e-01	3.0203649527e+01
  6	    44	6.5670674567e-03	4.9687435234e-03	3.1656910607e+01	    28	3.1391561585e-02	2.6594217639e-02	2.6097139878e+01
  8	    64	2.3787078223e-03	1.8422551733e-03	3.6198375802e+01	    45	3.8877842062e-03	3.2478765151e-03	3.7619676721e+01
 10	    96	1.2533648280e-03	9.6357007532e-04	3.7289476288e+01	    66	3.6333071704e-03	3.1104693266e-03	2.9731686187e+01
 12	   128	5.4042004025e-04	4.1279435223e-04	3.6549741215e+01	    91	5.5571942596e-03	4.6908726163e-03	3.0148619573e+01
 14	   168	1.9595310253e-04	1.4978710791e-04	3.5592121621e+01	   120	1.5137285781e-03	1.2699149906e-03	3.2702033247e+01
 16	   208	4.5110350168e-05	3.4418051178e-05	3.5244124035e+01	   153	6.3070583875e-04	5.2518953225e-04	2.9607629275e+01
 18	   264	1.9553761949e-04	1.4892060623e-04	3.6173382960e+01	   190	1.3662538785e-04	1.1506879213e-04	2.8672927690e+01
 20	   312	1.6060172210e-05	1.2261293109e-05	3.9795865507e+01	   231	3.3779427217e-04	2.7964948973e-04	3.3089889595e+01
 22	   372	2.2647301957e-04	1.7198040101e-04	3.6141661226e+01	   276	3.0513039189e-04	2.5258946264e-04	3.1119146363e+01
 24	   436	6.2203409978e-05	4.7088693044e-05	3.5201784373e+01	   325	3.1056299704e-04	2.5641063653e-04	2.9724971053e+01
 26	   520	5.3651640358e-06	4.0999540452e-06	4.1690727591e+01	   378	3.9818077150e-05	3.3425724097e-05	3.4935803172e+01
 28	   600	5.8400646482e-05	4.4356751423e-05	3.6734608256e+01	   435	1.1834716226e-04	9.8776080569e-05	2.9466901434e+01
 30	   684	3.2214707147e-05	2.4462747389e-05	3.8334963083e+01	   496	1.1023256961e-04	9.1658928874e-05	3.2152524399e+01
