ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	1.5042813696e-02	1.1258509950e-02	6.3611280390e+00	     6	1.3683233985e+00	9.7790341057e-01	1.1405627664e+01
  4	    24	3.1393145003e-16	2.5609388341e-16	5.5378996975e+00	    15	3.8257342026e-16	3.8414082512e-16	5.1264318206e+00
  6	    44	3.6630644351e-16	4.5608069377e-16	5.6624405292e+00	    28	2.7020861468e-16	3.4206052033e-16	5.7900960931e+00
  8	    64	5.3666362124e-16	6.8079239172e-16	6.2357057495e+00	    43	5.3720118840e-16	6.8079239172e-16	6.2652385831e+00
 10	    96	6.3284497510e-16	1.3021070096e-15	6.4498004796e+00	    66	4.5181027313e-16	7.5956242229e-16	6.2196460464e+00
 12	   128	6.7749680851e-16	1.8066246571e-15	6.3174872304e+00	    91	5.2021447550e-16	9.5644834789e-16	5.9516461495e+00
 14	   168	6.6395880754e-16	9.3595002880e-16	6.3890448241e+00	   120	2.5597218291e-15	2.0798889529e-15	6.2192952667e+00
 16	   208	6.5982778405e-16	1.3410070781e-15	6.3207686778e+00	   153	9.3296694020e-16	1.3410070781e-15	5.9318092564e+00
 18	   264	9.3688719732e-16	2.2563399805e-15	6.3337698325e+00	   190	2.6193159633e-15	2.4614617970e-15	5.9565001801e+00
 20	   312	1.3681141990e-15	4.6555230380e-15	6.6941045334e+00	   231	1.5642893191e-15	1.6193123610e-15	6.2687385030e+00
 22	   372	1.3906470105e-15	3.2443466116e-15	6.4809371642e+00	   276	8.8047788524e-16	1.5207874742e-15	6.1411718622e+00
 24	   436	1.2251427562e-15	3.6963543446e-15	6.4119100366e+00	   325	1.0961710448e-15	1.9980293754e-15	6.0723233336e+00
 26	   520	1.2163623031e-15	2.2082803424e-15	6.7564902689e+00	   378	1.3322800397e-15	2.2082803424e-15	6.3863260225e+00
 28	   600	1.3457072944e-15	2.5990384178e-15	6.4749229858e+00	   435	1.3709973808e-15	2.0992233374e-15	6.0938758744e+00
 30	   684	1.6207499911e-15	5.4761130194e-15	6.3858885761e+00	   496	5.2820229131e-15	4.5800217980e-15	6.0472609945e+00
