ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	1.2652791242e-01	8.3300421801e-02	1.5415326712e+00	     6	1.8036113357e-01	1.1221195612e-01	1.6773591061e+00
  4	    24	9.0880229220e-02	5.4603240862e-02	1.5366000257e+00	    15	5.2628610613e-02	3.6968102479e-02	1.7006775688e+00
  6	    44	1.3566906855e-01	7.8933693227e-02	1.5894690868e+00	    28	1.1989834758e-01	7.6782465833e-02	1.8208358519e+00
  8	    64	9.1071220922e-02	5.3782909615e-02	1.5775589481e+00	    45	8.9496497324e-02	5.6726645941e-02	1.7742384142e+00
 10	    96	1.4018880448e-01	8.1145268782e-02	1.6601113057e+00	    66	1.2526343169e-01	7.8621547453e-02	1.7873770743e+00
 12	   128	1.3791245920e-01	7.9680866946e-02	1.6435453057e+00	    91	1.2839562510e-01	8.0638286743e-02	1.8099455870e+00
 14	   168	1.2428793138e-01	7.1847329490e-02	1.6268034586e+00	   120	1.1402858438e-01	7.1419845119e-02	1.8225740582e+00
 16	   208	1.3223486080e-01	7.6076188057e-02	1.6345349588e+00	   153	1.2223073187e-01	7.5428394779e-02	1.7538262216e+00
 18	   264	1.3968442048e-01	7.9965174375e-02	1.6526159085e+00	   190	1.2961549837e-01	8.0233223510e-02	1.7794976651e+00
 20	   312	1.4197120972e-01	8.1313189925e-02	1.6958158467e+00	   231	1.3156192455e-01	8.0601257028e-02	1.8364087265e+00
 22	   372	1.4030065339e-01	8.0028546966e-02	1.6534068362e+00	   276	1.3065686496e-01	8.0226848085e-02	1.8079904701e+00
 24	   436	1.3834965680e-01	7.8696434118e-02	1.6410397845e+00	   325	1.2910698380e-01	7.8731562249e-02	1.7965730144e+00
 26	   520	1.2706011783e-01	7.2960868639e-02	1.6877987716e+00	   378	1.1795267725e-01	7.2745801113e-02	1.8744280096e+00
 28	   600	1.3173848727e-01	7.5201182010e-02	1.6486909198e+00	   435	1.2316929585e-01	7.5869750486e-02	1.8268506810e+00
 30	   684	1.3388724168e-01	7.6357227423e-02	1.6625328158e+00	   496	1.2249789384e-01	7.5196070619e-02	1.8587783446e+00
