ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	1.1355866177e-02	6.8249449412e-03	1.7540696045e+01	     6	7.9358039669e-01	6.2723583683e-01	1.6900314422e+01
  4	   312	4.6596895753e-05	2.6037204305e-05	2.0704909491e+01	    15	1.1636194826e-02	7.3350597297e-03	3.1314866361e+01
  6	   572	3.8944732306e-08	2.0826964480e-08	2.2506229823e+01	    28	6.1506174194e-05	3.6343166177e-05	2.3510641554e+01
  8	   832	4.6436289188e-10	2.4472057152e-10	2.5644627388e+01	    45	2.2602607864e-07	1.4282410574e-07	2.8600496366e+01
 10	  1248	4.5979515816e-10	2.4148155303e-10	2.6110641220e+01	    66	1.7583046677e-10	1.0285533550e-10	3.1076895610e+01
 12	  1664	4.5861329418e-10	2.3834040883e-10	2.5266049690e+01	    91	3.8809756265e-10	2.4031538946e-10	4.1688833885e+01
 14	  2184	4.5871079906e-10	2.3802989344e-10	2.5315132842e+01	   120	3.8249160363e-10	2.3807050477e-10	3.9088355393e+01
 16	  2704	4.5868310675e-10	2.3826210809e-10	2.5091673471e+01	   153	3.8669843168e-10	2.3828518758e-10	3.8869178464e+01
 18	  3432	4.5868558393e-10	2.3868485241e-10	2.5678612054e+01	   190	3.9239502228e-10	2.3865637216e-10	3.5273362494e+01
 20	  4056	4.5604604583e-10	2.3779088674e-10	2.8163246050e+01	   231	3.8309048525e-10	2.3787530422e-10	3.7981436433e+01
 22	  4836	4.5884847247e-10	2.3750785584e-10	2.5764563724e+01	   276	3.8690175779e-10	2.3754693213e-10	4.4429460160e+01
 24	  5668	4.5864242305e-10	2.3567107904e-10	2.5116422163e+01	   325	3.9366704351e-10	2.3832945975e-10	3.8746097634e+01
 26	  6760	4.6069735614e-10	2.3702526544e-10	2.9367354815e+01	   378	3.8805282409e-10	2.3681842760e-10	3.9434752833e+01
 28	  7800	4.5858316878e-10	2.3655672566e-10	2.6111878929e+01	   435	3.8012258427e-10	2.3620904406e-10	4.4268126721e+01
 30	  8892	4.4643817921e-10	2.3637053079e-10	2.7073729610e+01	   496	3.8184479814e-10	2.3602498904e-10	4.0489942745e+01
