ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	7.0457500359e-04	6.1375197218e-04	1.1024019231e+00	     6	2.5008413224e-02	2.2726402180e-02	1.1063731712e+00
  4	   312	8.3875731198e-05	7.1269057694e-05	1.1106220102e+00	    15	2.6408264490e-03	2.2276817054e-03	1.1355375494e+00
  6	   572	2.3346952040e-05	1.9579265214e-05	1.1151416030e+00	    28	9.3513183408e-04	7.6302998749e-04	1.1175976568e+00
  8	   832	1.5656986225e-05	1.3059494268e-05	1.1226804004e+00	    45	3.6234929389e-05	3.0741985757e-05	1.1294434552e+00
 10	  1248	2.6900838187e-06	2.2411028545e-06	1.1237669861e+00	    66	4.8982953788e-05	3.9833725439e-05	1.1348920825e+00
 12	  1664	1.7971918096e-06	1.4929302373e-06	1.1217917495e+00	    91	8.1215337985e-06	6.8257368089e-06	1.1564607959e+00
 14	  2184	3.2045153497e-06	2.6602842177e-06	1.1219072690e+00	   120	1.2710412462e-05	1.0781410271e-05	1.1514065070e+00
 16	  2704	1.9522049700e-06	1.6210255299e-06	1.1213806060e+00	   153	6.7618067185e-06	5.7467123596e-06	1.1509743202e+00
 18	  3432	2.6978157143e-07	2.2408912516e-07	1.1227599117e+00	   190	1.3543494978e-06	1.1382515411e-06	1.1437350768e+00
 20	  4056	3.2923460302e-07	2.7347431203e-07	1.1284616730e+00	   231	4.9112782587e-06	4.1803005309e-06	1.1492135175e+00
 22	  4836	1.7379015660e-07	1.4414665320e-07	1.1229608150e+00	   276	7.6200414332e-06	6.4064726037e-06	1.1616498628e+00
 24	  5668	1.4368981678e-07	1.1893420395e-07	1.1214390291e+00	   325	1.5465465400e-07	1.2913463188e-07	1.1507311844e+00
 26	  6760	2.3441439953e-07	1.9456001842e-07	1.1311506454e+00	   378	1.4466571422e-07	1.2171821588e-07	1.1520875383e+00
 28	  7800	1.5132853196e-07	1.2542095538e-07	1.1237698615e+00	   435	5.5030689058e-10	4.6716955916e-10	1.1613480847e+00
