ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	1.0705406404e-04	8.3038641669e-05	1.1286514655e+00	     6	6.5534421819e-03	7.6619408183e-03	1.0967313597e+00
  4	   312	7.8460869431e-06	5.8221268384e-06	1.1348093076e+00	    15	4.3774675929e-04	4.3847796068e-04	1.0968535611e+00
  6	   572	5.0686408352e-07	3.6808288919e-07	1.1406831621e+00	    28	2.6138412808e-05	2.8353419916e-05	1.0985758694e+00
  8	   832	8.5326473870e-09	6.0118274142e-09	1.1490580675e+00	    45	2.1231550742e-06	1.3949262309e-06	1.1049489331e+00
 10	  1248	3.2309143202e-09	2.4220725089e-09	1.1502155119e+00	    66	5.1814347417e-07	4.3002920288e-07	1.0989773900e+00
 12	  1664	2.0546897054e-09	1.5644403348e-09	1.1483966054e+00	    91	2.9836327315e-07	2.7518242896e-07	1.1094557245e+00
 14	  2184	4.9309531201e-10	3.4030692021e-10	1.1479925632e+00	   120	6.8091052037e-08	6.7691164532e-08	1.1056748032e+00
 16	  2704	2.2562582697e-10	1.5568926248e-10	1.1473682974e+00	   153	1.9943692106e-08	1.9879460696e-08	1.1031178723e+00
 18	  3432	1.1613012438e-10	7.9573810201e-11	1.1489984264e+00	   190	1.0047577066e-09	9.6969238218e-10	1.1033674569e+00
 20	  4056	6.8714402436e-11	4.7268655116e-11	1.1552620801e+00	   231	2.1771714418e-09	1.2518601001e-09	1.1040470382e+00
 22	  4836	3.4550975753e-11	2.3512767005e-11	1.1489454953e+00	   276	4.2812287058e-09	2.0367761453e-09	1.1076268572e+00
 24	  5668	6.3816920795e-11	4.3340534391e-11	1.1472654031e+00	   325	1.1682554816e-09	1.1626451163e-09	1.1054125406e+00
 26	  6760	1.0771341873e-11	7.4280885401e-12	1.1584297344e+00	   378	1.5511862777e-09	1.4126739336e-09	1.1063723673e+00
 28	  7800	1.4796356471e-11	1.0111325555e-11	1.1500050828e+00	   435	1.1915008476e-09	1.0698078987e-09	1.1076883831e+00
 30	  8892	2.1661288216e-11	1.4794536470e-11	1.1528194713e+00	   496	4.8702794235e-10	4.7698271389e-10	1.1044980317e+00
