ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	3.1623702818e-09	2.1286079231e-09	1.0000719240e+00	     6	2.8232915892e-05	2.4272137498e-05	1.0000699954e+00
  4	   312	9.3536134258e-16	1.5936207170e-15	1.0000738002e+00	    15	2.0746395463e-16	2.6560345284e-16	1.0000576922e+00
  6	   572	1.1864766941e-15	2.4706167653e-15	1.0000747163e+00	    28	2.3443276586e-16	2.5326141522e-16	1.0000490921e+00
  8	   832	1.4543972228e-15	3.0640406371e-15	1.0000787855e+00	    45	3.0089082022e-16	3.2253059338e-16	1.0000529633e+00
 10	  1248	1.8001160635e-15	4.4811749004e-15	1.0000799862e+00	    66	4.9587395893e-16	6.5322705366e-16	1.0000518082e+00
 12	  1664	1.8214661747e-15	3.9308124242e-15	1.0000788551e+00	    91	4.4950905022e-16	7.1605882819e-16	1.0000630266e+00
 14	  2184	2.3783241451e-15	6.1936195423e-15	1.0000794126e+00	   120	4.9893570319e-16	9.4080296846e-16	1.0000611757e+00
 16	  2704	2.4301250167e-15	5.4951160336e-15	1.0000790582e+00	   153	6.0895234900e-16	9.4201989148e-16	1.0000605816e+00
 18	  3432	2.9461299347e-15	5.9006057486e-15	1.0000793973e+00	   190	6.4263475814e-16	1.1014464064e-15	1.0000593757e+00
 20	  4056	3.2888681632e-15	7.6743164137e-15	1.0000825263e+00	   231	6.4552996131e-16	1.2529496186e-15	1.0000621127e+00
 22	  4836	3.6021816677e-15	8.5967829658e-15	1.0000800859e+00	   276	8.1494023753e-16	2.1882720277e-15	1.0000638520e+00
 24	  5668	4.0206342453e-15	1.0830756803e-14	1.0000794804e+00	   325	8.2672688938e-16	2.1986300861e-15	1.0000625225e+00
 26	  6760	4.1204004673e-15	9.9605880297e-15	1.0000836880e+00	   378	9.0365635371e-16	1.7119760676e-15	1.0000612371e+00
 28	  7800	4.5325129480e-15	1.0947544969e-14	1.0000802478e+00	   435	8.9997683654e-16	1.7081275837e-15	1.0000638287e+00
 30	  8892	4.7310901120e-15	1.3474733970e-14	1.0000801651e+00	   496	1.0254001363e-15	2.5555529944e-15	1.0000609235e+00
