ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	1.5942545633e-01	1.7671596651e-01	1.9382479321e+04	     6	1.8102883832e+00	2.0867308204e+00	2.8985449695e+04
  4	   114	1.9332334674e-02	2.1623203848e-02	2.3226683312e+04	    15	3.9563369432e-01	4.6218709623e-01	1.1337448890e+04
  6	   209	1.9685456810e-04	2.1938429868e-04	2.3782360819e+04	    28	9.1700482131e-03	1.0233526024e-02	1.5975684659e+04
  8	   304	1.9859474228e-06	2.2384332805e-06	2.6260459391e+04	    45	9.0649959444e-04	9.8999948866e-04	2.3785604105e+04
 10	   456	1.9135890806e-08	2.1600024829e-08	2.7340220168e+04	    66	2.6505723475e-06	2.9751025517e-06	1.5101045966e+04
 12	   608	2.1429271545e-09	2.4220545294e-09	2.7216540608e+04	    91	2.1160194116e-09	2.3242549653e-09	1.8392597872e+04
 14	   798	2.2297793617e-09	2.5179719925e-09	2.6780471906e+04	   120	2.3025106330e-09	2.5176921846e-09	1.6797678338e+04
 16	   988	2.2299044894e-09	2.5175558195e-09	2.6781689575e+04	   153	2.3083530310e-09	2.5199065391e-09	1.9348257135e+04
 18	  1254	2.2302408862e-09	2.5179066716e-09	2.6796518770e+04	   190	2.3296901548e-09	2.4936977893e-09	1.9092432550e+04
 20	  1482	2.2275235950e-09	2.5178106871e-09	2.9133853180e+04	   231	2.2650008021e-09	2.5180567103e-09	1.7978371159e+04
 22	  1767	2.2304257920e-09	2.5181807708e-09	2.7031482364e+04	   276	2.2933584305e-09	2.5185765245e-09	2.0642759725e+04
 24	  2071	2.2305409459e-09	2.5178724228e-09	2.6507946241e+04	   325	2.2870015335e-09	2.5178437328e-09	1.9046993374e+04
 26	  2470	2.2262642400e-09	2.5181424224e-09	3.0331284077e+04	   378	2.2941429090e-09	2.5145897165e-09	1.9683608975e+04
 28	  2850	2.2290285504e-09	2.5182858525e-09	2.7363249526e+04	   435	2.2788179505e-09	2.5185436510e-09	1.7991120848e+04
 30	  3249	2.2285464490e-09	2.5181034863e-09	2.7581682547e+04	   496	2.3010327967e-09	2.5184321771e-09	1.9126797446e+04
