ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	2.0418192111e-03	2.7370913436e-03	1.4183294609e+00	     6	4.0067778549e-02	4.8373230583e-02	1.2974859616e+00
  4	   114	2.1957562081e-04	2.9138521695e-04	1.4384863735e+00	    15	1.8963607557e-03	2.4591945225e-03	1.2688340841e+00
  6	   209	5.0239612701e-06	6.3916736831e-06	1.4559718092e+00	    28	2.7795231641e-04	2.7567701554e-04	1.2811841677e+00
  8	   304	1.8777212901e-06	2.2052954580e-06	1.4892437787e+00	    45	1.4854468563e-06	1.9549447148e-06	1.2901080141e+00
 10	   456	3.2389497867e-07	3.3739177851e-07	1.4937375553e+00	    66	2.8969301358e-06	3.6725953347e-06	1.2858090688e+00
 12	   608	5.5648400087e-08	4.3492484513e-08	1.4881761794e+00	    91	4.1727913438e-07	5.2653918479e-07	1.2857581151e+00
 14	   798	6.4929978764e-08	7.5074095471e-08	1.4857445209e+00	   120	2.2047343657e-07	2.0237632625e-07	1.2758288749e+00
 16	   988	1.9249640057e-08	2.3112403509e-08	1.4834671247e+00	   153	3.4678153206e-08	4.4085608122e-08	1.2864704468e+00
 18	  1254	5.5789926371e-09	7.1431124163e-09	1.4892264605e+00	   190	4.5375446578e-08	5.5842458266e-08	1.2913255009e+00
 20	  1482	1.1315034367e-09	1.4359358822e-09	1.5121130377e+00	   231	8.4412113119e-09	9.8769461286e-09	1.2833326874e+00
 22	  1767	2.1487453411e-09	2.6818597487e-09	1.4891978883e+00	   276	7.0879831485e-09	7.8789427497e-09	1.2981501114e+00
 24	  2071	8.2262263813e-10	1.0999549925e-09	1.4831642616e+00	   325	2.4210061216e-09	2.8962430433e-09	1.2841309639e+00
 26	  2470	4.2727682902e-10	5.2916747503e-10	1.5236737512e+00	   378	1.8295905486e-09	2.1297605877e-09	1.2862089604e+00
 28	  2850	6.4457206284e-10	8.2409733403e-10	1.4930114810e+00	   435	1.8622926684e-10	1.5736430341e-10	1.2839586711e+00
 30	  3249	8.0045858438e-10	9.1454571361e-10	1.5029452673e+00	   496	8.6746464992e-10	1.0255059921e-09	1.2901953924e+00
