ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	1.3570155912e-01	1.0133382296e-01	9.8040045954e+03	     6	8.1141838004e-01	6.6016683088e-01	2.0254892661e+03
  4	   114	1.8439945050e-14	3.1724086321e-14	1.2250159609e+04	    15	1.6354686228e-14	2.1379029565e-14	8.6063608462e+03
  6	   209	4.9876010465e-14	6.8025913074e-14	1.2906353710e+04	    28	9.3052330725e-14	7.5082204050e-14	9.9980765752e+03
  8	   304	1.1143454505e-13	1.3314573688e-13	1.4872066877e+04	    45	9.2915675586e-14	8.4812010479e-14	9.7752430575e+03
 10	   456	5.2804617608e-14	8.6379791529e-14	1.5237822210e+04	    66	1.3550486645e-13	1.0219901554e-13	1.1352445537e+04
 12	   608	3.6029476332e-14	6.8398227548e-14	1.4967884308e+04	    91	8.9936443071e-14	7.8527083208e-14	1.2337116877e+04
 14	   798	4.6328540175e-14	9.5052752135e-14	1.4978547933e+04	   120	7.8718400444e-15	1.4001782650e-14	1.0677813027e+04
 16	   988	1.9488968726e-13	2.2465308117e-13	1.4735243144e+04	   153	7.7801690783e-14	1.1743310803e-13	1.3004259488e+04
 18	  1254	7.6438561582e-14	1.7361392290e-13	1.5041659593e+04	   190	2.2061672033e-14	4.2850076150e-14	1.2687422348e+04
 20	  1482	8.7369327155e-14	1.8363508072e-13	1.6230295271e+04	   231	5.0563517606e-14	6.6486600831e-14	1.2454971903e+04
 22	  1767	9.0368382931e-14	2.1092915813e-13	1.5337377401e+04	   276	9.5076634654e-14	8.1860893043e-14	1.3649363370e+04
 24	  2071	1.2711703492e-13	2.7426244015e-13	1.5056185249e+04	   325	1.9675524486e-14	7.4571149149e-14	1.2184995274e+04
 26	  2470	2.1246579951e-13	3.0389327503e-13	1.6539839890e+04	   378	3.0816896563e-14	4.7120530286e-14	1.2149923846e+04
 28	  2850	1.8346812070e-13	3.2488256134e-13	1.5367351890e+04	   435	1.4440293292e-13	1.4403234426e-13	1.2457166197e+04
 30	  3249	9.1129774588e-14	4.5743960274e-13	1.5582012886e+04	   496	6.5717854845e-14	1.4274353619e-13	1.2917563502e+04
