ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	3.2337429546e-04	3.5844589992e-04	1.0200244903e+00	     6	7.8635210640e-03	9.0643302548e-03	1.0361197407e+00
  4	   114	4.6487076773e-05	5.1995765352e-05	1.0239127956e+00	    15	1.4388798202e-03	1.6809278266e-03	1.0205113339e+00
  6	   209	4.8036670848e-07	5.3534400899e-07	1.0243811230e+00	    28	2.2627050099e-05	2.5251176510e-05	1.0200512620e+00
  8	   304	4.8452842104e-09	5.4612960290e-09	1.0256334144e+00	    45	2.2079284695e-06	2.4113061595e-06	1.0243598041e+00
 10	   456	4.6687092253e-11	5.2699297926e-11	1.0261618377e+00	    66	6.4667307311e-09	7.2585032144e-09	1.0193782689e+00
 12	   608	5.2282444805e-12	5.9081956488e-12	1.0261018274e+00	    91	5.1626658807e-12	5.6711349034e-12	1.0214078331e+00
 14	   798	5.4401853413e-12	6.1440505281e-12	1.0258891803e+00	   120	5.6178618317e-12	6.1429121718e-12	1.0204488826e+00
 16	   988	5.4405137826e-12	6.1431370809e-12	1.0258897764e+00	   153	5.6321335533e-12	6.1476802116e-12	1.0219629787e+00
 18	  1254	5.4413569055e-12	6.1426313599e-12	1.0258970352e+00	   190	5.6839206818e-12	6.0847108133e-12	1.0218157100e+00
 20	  1482	5.4347789349e-12	6.1431797618e-12	1.0270176890e+00	   231	5.5258959317e-12	6.1439766902e-12	1.0211628275e+00
 22	  1767	5.4416919548e-12	6.1465416899e-12	1.0260117888e+00	   276	5.5954561477e-12	6.1441211309e-12	1.0226939906e+00
 24	  2071	5.4420871932e-12	6.1440934445e-12	1.0257554266e+00	   325	5.5797904951e-12	6.1430688028e-12	1.0217894516e+00
 26	  2470	5.4316034347e-12	6.1453594003e-12	1.0275748393e+00	   378	5.5972557420e-12	6.1361401661e-12	1.0221545928e+00
 28	  2850	5.4380153178e-12	6.1460176487e-12	1.0261729957e+00	   435	5.5597904412e-12	6.1450004899e-12	1.0211704096e+00
 30	  3249	5.4373697756e-12	6.1437359733e-12	1.0262786137e+00	   496	5.6140568711e-12	6.1430944318e-12	1.0218355485e+00
