ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	1.2202424733e-01	1.6554030681e-01	5.9406296483e+01	     6	2.8528159799e+00	3.8616957629e+00	2.3755811583e+01
  4	   114	1.5082915930e-02	2.0399419519e-02	6.5086988476e+01	    15	1.2888248714e-01	1.8466429719e-01	2.1574751224e+01
  6	   209	2.6935380163e-04	3.5968611604e-04	6.8960707026e+01	    28	1.7603718606e-02	2.2645924886e-02	2.4300523526e+01
  8	   304	1.2840925313e-04	1.7426256062e-04	8.0735566476e+01	    45	8.9109325014e-05	1.1592075827e-04	2.6345419784e+01
 10	   456	1.4325126540e-05	1.9419987032e-05	8.2459363796e+01	    66	6.9571212853e-05	8.4062185217e-05	2.4985882713e+01
 12	   608	3.1077138080e-06	4.2145642416e-06	8.1407223177e+01	    91	2.7899906188e-05	3.5100541598e-05	2.5109867100e+01
 14	   798	2.7274298843e-06	3.6202300631e-06	7.9673483088e+01	   120	1.3474264075e-05	1.7134236657e-05	2.2687285076e+01
 16	   988	9.0906853371e-07	1.2081916853e-06	7.8942052295e+01	   153	3.0038940698e-07	2.4206820826e-07	2.5658594417e+01
 18	  1254	1.7236128543e-07	2.2533716467e-07	8.0743547836e+01	   190	2.6221944353e-06	3.2204832547e-06	2.6290298519e+01
 20	  1482	3.6803820079e-08	4.8427777743e-08	8.8134569410e+01	   231	3.0183214114e-07	3.6714817264e-07	2.4644336455e+01
 22	  1767	1.1120768678e-07	1.4759845260e-07	8.0796063855e+01	   276	4.7800505880e-07	5.9211334395e-07	2.7990901240e+01
 24	  2071	5.3221140436e-08	7.0783142809e-08	7.8881731057e+01	   325	8.2402977811e-08	9.8727126403e-08	2.5223062793e+01
 26	  2470	1.5205538071e-08	2.0113431159e-08	9.1887009869e+01	   378	9.2099146436e-08	1.1303379968e-07	2.5510398626e+01
 28	  2850	3.5236183461e-08	4.6865686963e-08	8.1977131037e+01	   435	1.1113033176e-08	1.3907750842e-08	2.4805197336e+01
 30	  3249	3.4056446500e-08	4.5013565684e-08	8.5070753169e+01	   496	3.1489029527e-08	3.7989742880e-08	2.6208597765e+01
