ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	9.8482441010e-03	7.3540807538e-03	9.0054497448e+00	     6	1.2331982587e-01	1.0033252959e-01	4.8699711964e+00
  4	   114	5.7444475920e-16	1.1587549900e-15	8.3167044501e+00	    15	1.9722812702e-15	1.7381324850e-15	6.8908974249e+00
  6	   209	7.9508110635e-16	1.9435975164e-15	8.7417338952e+00	    28	9.4367252169e-16	1.0364107921e-15	7.3156918356e+00
  8	   304	9.1728833781e-16	2.1658981171e-15	9.7960997997e+00	    45	8.3443042945e-16	9.1195710192e-16	7.0498760812e+00
 10	   456	1.0596720115e-15	2.6175694403e-15	9.9923192976e+00	    66	2.1903251901e-15	2.3899547063e-15	7.9027117796e+00
 12	   608	1.3486790560e-15	4.2108725778e-15	9.8475097051e+00	    91	1.5108652651e-15	1.7071105045e-15	8.4335377930e+00
 14	   798	1.6383999756e-15	4.5534252520e-15	9.8532310911e+00	   120	5.4247172786e-16	1.2521919443e-15	7.5383613415e+00
 16	   988	1.7932645437e-15	5.2390579132e-15	9.7226726147e+00	   153	1.8091312070e-15	1.9952227092e-15	8.7926353948e+00
 18	  1254	1.9120265124e-15	5.1230337904e-15	9.8870911600e+00	   190	3.7300589639e-15	3.7607779599e-15	8.6221449476e+00
 20	  1482	2.0537270896e-15	8.6523658616e-15	1.0524385198e+01	   231	1.2648682752e-15	3.1877137385e-15	8.4970048844e+00
 22	  1767	2.3519055625e-15	8.0820130745e-15	1.0045715351e+01	   276	1.7763002953e-15	3.3017606374e-15	9.1395041103e+00
 24	  2071	2.5206236728e-15	7.7417376216e-15	9.8948839869e+00	   325	2.4608579245e-15	4.7816614722e-15	8.3515973554e+00
 26	  2470	2.6766375719e-15	8.3086925383e-15	1.0690228472e+01	   378	2.3796751830e-15	3.6421665921e-15	8.3327028041e+00
 28	  2850	3.1006364947e-15	9.5620655756e-15	1.0061790946e+01	   435	4.6059527644e-15	7.0592927622e-15	8.4981864243e+00
 30	  3249	3.2628665467e-15	1.0926648884e-14	1.0176900789e+01	   496	3.4515175814e-15	5.6915285561e-15	8.7459930091e+00
