ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	8.8052418210e-06	5.7194795211e-06	1.1681230567e+01	     6	1.3079059753e-03	8.0910186588e-04	1.4248220974e+01
  4	    24	1.4809486423e-08	8.9890979450e-09	1.3286312717e+01	    15	4.7252225950e-06	2.8731229895e-06	1.5953811862e+01
  6	    44	2.9819242689e-11	1.7830160425e-11	1.4840367417e+01	    28	4.7884798636e-09	2.9150150959e-09	1.9629174571e+01
  8	    64	2.0898637809e-14	1.3798086731e-14	1.7222170335e+01	    45	4.3563807998e-12	2.6579401340e-12	1.8257144707e+01
 10	    96	6.2860463633e-15	2.0347894952e-14	1.7524290054e+01	    66	2.0816873338e-14	1.3738436875e-14	2.1953952910e+01
 12	   128	9.0268046064e-15	2.9533674482e-14	1.6982778364e+01	    91	4.1564292481e-15	1.2726588231e-14	2.1159294545e+01
 14	   168	1.4607225350e-14	7.1157326050e-14	1.6856708910e+01	   120	2.3428992309e-15	6.2835824913e-15	2.3134931448e+01
 16	   208	3.0642458063e-14	6.8986614086e-14	1.6679590769e+01	   153	1.7142881658e-14	3.8106353935e-14	1.9363946526e+01
 18	   264	4.1797326554e-14	8.0896871597e-14	1.7161206418e+01	   190	7.9660369058e-15	3.8020867656e-14	2.0570537808e+01
 20	   312	2.9090325293e-14	1.1116755284e-13	1.8964844543e+01	   231	7.1599250958e-15	2.2211075139e-14	2.1132138160e+01
 22	   372	5.6852030765e-14	2.3067200944e-13	1.7141346815e+01	   276	9.7779938438e-15	3.8221163858e-14	2.1947584174e+01
 24	   436	5.3400711588e-14	2.5950376792e-13	1.6655484038e+01	   325	2.6685192361e-14	8.3513334453e-14	2.1083086157e+01
 26	   520	1.6234895166e-13	5.8872296162e-13	1.9903670935e+01	   378	3.1427291552e-14	1.3033384760e-13	2.0673367741e+01
 28	   600	4.2747212665e-14	2.7733379045e-13	1.7428840258e+01	   435	3.4481044230e-14	9.5410186759e-14	2.0938816450e+01
 30	   684	1.1116521584e-13	2.6271798910e-13	1.8266214725e+01	   496	1.5959315162e-13	3.7093529943e-13	2.2592212277e+01
