ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	7.0187424492e-04	6.5338254348e-04	5.2128972067e+00	     6	2.1588740157e-02	2.0532014309e-02	6.1524403777e+00
  4	    24	1.2056989861e-06	1.1154045532e-06	6.1169173576e+00	    15	1.5654131119e-05	1.4236259137e-05	7.3841298335e+00
  6	    44	2.7805635051e-10	2.5674989869e-10	6.9703484991e+00	    28	2.0895604340e-08	1.9003293077e-08	9.5416384274e+00
  8	    64	1.0496545432e-12	9.8033804137e-13	8.2868795969e+00	    45	1.5932185105e-12	1.6947539219e-12	8.7616505573e+00
 10	    96	8.9962043095e-13	9.7756247743e-13	8.4372702000e+00	    66	9.2915376795e-13	9.0096815528e-13	1.1005632187e+01
 12	   128	1.0451949554e-12	1.2932003360e-12	8.1988105725e+00	    91	9.8502213542e-13	9.9916662947e-13	1.0357582278e+01
 14	   168	9.9107817504e-13	1.0668058826e-12	8.1073166104e+00	   120	9.5853851045e-13	1.1236116882e-12	1.1608270801e+01
 16	   208	9.9393952682e-13	1.1669631376e-12	8.0096982253e+00	   153	9.2103783503e-13	1.0882808140e-12	9.5374713310e+00
 18	   264	9.4203065909e-13	1.3229166478e-12	8.2688235290e+00	   190	9.0209981614e-13	1.3418357275e-12	1.0181271700e+01
 20	   312	9.9947915149e-13	1.2301192224e-12	9.2680780456e+00	   231	9.5935353187e-13	1.1903912501e-12	1.0428519308e+01
 22	   372	9.8310995788e-13	1.3378726076e-12	8.2592944926e+00	   276	9.3685104533e-13	1.2839355875e-12	1.0883039468e+01
 24	   436	1.0003836182e-12	1.4275367223e-12	7.9942969860e+00	   325	9.6961898249e-13	1.4419962177e-12	1.0340427956e+01
 26	   520	1.0368490114e-12	1.2928420394e-12	9.7860224781e+00	   378	1.0206344662e-12	1.3039922620e-12	1.0265117357e+01
 28	   600	1.0134293537e-12	1.3139946973e-12	8.4238251980e+00	   435	9.7427699058e-13	1.2969003313e-12	1.0201532185e+01
 30	   684	9.9916652295e-13	1.7540273312e-12	8.8770290777e+00	   496	9.3760482311e-13	1.7316973772e-12	1.1230214176e+01
