ADE	      t_cubatura	  t_compressione	           t_sys	         t_sys_c	       tot_senza	       tot_catch
  2	6.7376500000e-02	1.7619500000e-02	5.8539000000e-03	8.3310000000e-04	7.3230400000e-02	8.5829100000e-02
  4	7.1802000000e-03	4.6210000000e-03	3.0000000000e-04	2.4210000000e-04	7.4802000000e-03	1.2043300000e-02
  6	3.3948000000e-03	4.1117000000e-03	2.4209000000e-03	2.2720000000e-04	5.8157000000e-03	7.7337000000e-03
  8	3.9606000000e-03	3.0395000000e-03	5.6030000000e-04	3.5670000000e-04	4.5209000000e-03	7.3568000000e-03
 10	7.7892000000e-03	1.3785100000e-02	1.0713000000e-03	4.7200000000e-04	8.8605000000e-03	2.2046300000e-02
 12	1.4136000000e-03	1.8292000000e-02	1.7716000000e-03	8.3760000000e-04	3.1852000000e-03	2.0543200000e-02
 14	1.0065000000e-03	2.0329000000e-02	1.8716000000e-03	1.0121000000e-03	2.8781000000e-03	2.2347600000e-02
 16	1.1080000000e-03	3.8781500000e-02	2.8454000000e-03	1.5704000000e-03	3.9534000000e-03	4.1459900000e-02
 18	9.7760000000e-04	8.5684500000e-02	4.8485000000e-03	2.8050000000e-03	5.8261000000e-03	8.9467100000e-02
 20	8.3080000000e-04	1.7587750000e-01	6.3258000000e-03	3.4002000000e-03	7.1566000000e-03	1.8010850000e-01
 22	7.5140000000e-04	2.6669710000e-01	9.8100000000e-03	4.7666000000e-03	1.0561400000e-02	2.7221510000e-01
 24	9.5940000000e-04	4.5329120000e-01	1.2121600000e-02	6.5695000000e-03	1.3081000000e-02	4.6082010000e-01
 26	1.0862000000e-03	7.0570930000e-01	1.7451300000e-02	1.0005000000e-02	1.8537500000e-02	7.1680050000e-01
 28	7.6660000000e-04	1.1858583000e+00	2.3752500000e-02	1.2049300000e-02	2.4519100000e-02	1.1986742000e+00
 30	1.0188000000e-03	1.7632721000e+00	3.0185300000e-02	1.5472900000e-02	3.1204100000e-02	1.7797638000e+00
 32	7.3750000000e-04	3.1495546000e+00	3.8299300000e-02	2.0284600000e-02	3.9036800000e-02	3.1705767000e+00
 34	1.0675000000e-03	4.0411561000e+00	4.7429700000e-02	2.5447900000e-02	4.8497200000e-02	4.0676715000e+00
 36	8.4630000000e-04	6.1061404000e+00	6.1341500000e-02	3.2753100000e-02	6.2187800000e-02	6.1397398000e+00
 38	8.2790000000e-04	8.5514049000e+00	9.1827700000e-02	4.6904400000e-02	9.2655600000e-02	8.5991372000e+00
 40	8.6900000000e-04	1.2036423100e+01	1.1511900000e-01	5.7567100000e-02	1.1598800000e-01	1.2094859200e+01
 42	1.1988000000e-03	1.7016097500e+01	1.1538440000e-01	7.0306600000e-02	1.1658320000e-01	1.7087602900e+01
 44	8.8140000000e-04	2.4494587900e+01	1.3854430000e-01	6.8701900000e-02	1.3942570000e-01	2.4564171200e+01
 46	8.2190000000e-04	3.5913768400e+01	1.6651210000e-01	8.2746000000e-02	1.6733400000e-01	3.5997336300e+01
 48	8.9300000000e-04	5.3174879100e+01	1.9906220000e-01	1.0009760000e-01	1.9995520000e-01	5.3275869700e+01
 50	1.1625000000e-03	7.5144765200e+01	2.4108130000e-01	1.1839480000e-01	2.4224380000e-01	7.5264322500e+01
