ADE	      t_cubatura	  t_compressione	           t_sys	         t_sys_c	       tot_senza	       tot_catch
  2	1.5181000000e-03	4.5090000000e-04	6.6700000000e-05	1.5400000000e-05	1.5848000000e-03	1.9844000000e-03
  4	1.3120000000e-03	5.9750000000e-04	1.0550000000e-04	2.2600000000e-05	1.4175000000e-03	1.9321000000e-03
  6	1.1350000000e-03	8.8500000000e-04	1.4040000000e-04	6.3900000000e-05	1.2754000000e-03	2.0839000000e-03
  8	6.8200000000e-04	1.8608000000e-03	2.4720000000e-04	1.2940000000e-04	9.2920000000e-04	2.6722000000e-03
 10	8.1900000000e-04	5.0448000000e-03	5.4920000000e-04	2.5230000000e-04	1.3682000000e-03	6.1161000000e-03
 12	8.4270000000e-04	8.6682000000e-03	8.6850000000e-04	4.3450000000e-04	1.7112000000e-03	9.9454000000e-03
 14	8.0250000000e-04	1.7098100000e-02	1.5678000000e-03	7.4570000000e-04	2.3703000000e-03	1.8646300000e-02
 16	6.5610000000e-04	4.8247600000e-02	2.8997000000e-03	1.3750000000e-03	3.5558000000e-03	5.0278700000e-02
 18	9.6980000000e-04	8.9624700000e-02	3.6545000000e-03	2.3575000000e-03	4.6243000000e-03	9.2952000000e-02
 20	8.7770000000e-04	1.7203420000e-01	4.8989000000e-03	2.7611000000e-03	5.7766000000e-03	1.7567300000e-01
 22	8.8500000000e-04	2.9215760000e-01	7.6656000000e-03	4.2938000000e-03	8.5506000000e-03	2.9733640000e-01
 24	9.7630000000e-04	4.8221300000e-01	1.0155900000e-02	5.3963000000e-03	1.1132200000e-02	4.8858560000e-01
 26	1.0786000000e-03	7.3477260000e-01	1.6833600000e-02	8.4466000000e-03	1.7912200000e-02	7.4429780000e-01
 28	9.6930000000e-04	1.2369761000e+00	2.0767200000e-02	9.8824000000e-03	2.1736500000e-02	1.2478278000e+00
 30	1.0049000000e-03	1.7537795000e+00	2.7166400000e-02	1.2485400000e-02	2.8171300000e-02	1.7672698000e+00
 32	7.2910000000e-04	2.9600232000e+00	6.0389700000e-02	1.8584200000e-02	6.1118800000e-02	2.9793365000e+00
 34	1.0116000000e-03	4.1645402000e+00	4.5092100000e-02	2.3150800000e-02	4.6103700000e-02	4.1887026000e+00
 36	1.0116000000e-03	6.1948772000e+00	5.5007800000e-02	2.7831900000e-02	5.6019400000e-02	6.2237207000e+00
 38	9.5950000000e-04	8.3327991000e+00	7.9757400000e-02	3.8854200000e-02	8.0716900000e-02	8.3726128000e+00
 40	8.2130000000e-04	1.2384841500e+01	9.0660500000e-02	4.4757100000e-02	9.1481800000e-02	1.2430419900e+01
 42	1.6719000000e-03	1.6711887800e+01	9.9933200000e-02	4.9018400000e-02	1.0160510000e-01	1.6762578100e+01
 44	1.3804000000e-03	2.4315497800e+01	1.2661750000e-01	5.7887500000e-02	1.2799790000e-01	2.4374765700e+01
 46	9.8500000000e-04	3.5273518100e+01	1.7318680000e-01	8.2331200000e-02	1.7417180000e-01	3.5356834300e+01
 48	9.1980000000e-04	5.3389723400e+01	2.1952160000e-01	1.0196170000e-01	2.2044140000e-01	5.3492604900e+01
 50	1.1384000000e-03	7.4399285100e+01	2.2180850000e-01	1.0104470000e-01	2.2294690000e-01	7.4501468200e+01
