ADE	      t_cubatura	  t_compressione	           t_sys	         t_sys_c	       tot_senza	       tot_catch
  2	8.7511300000e-02	1.5544600000e-02	6.6957000000e-03	1.3088000000e-03	9.4207000000e-02	1.0436470000e-01
  4	4.7144000000e-03	6.1986000000e-03	7.4491000000e-03	4.7480000000e-04	1.2163500000e-02	1.1387800000e-02
  6	4.0241000000e-03	7.8119000000e-03	2.3837300000e-02	2.4120000000e-04	2.7861400000e-02	1.2077200000e-02
  8	4.5585000000e-03	5.4900000000e-03	4.4181100000e-02	3.4490000000e-04	4.8739600000e-02	1.0393400000e-02
 10	8.2395000000e-03	2.4338800000e-02	1.0644250000e-01	4.9750000000e-04	1.1468200000e-01	3.3075800000e-02
 12	1.6125000000e-03	1.9820900000e-02	1.9558650000e-01	5.9120000000e-04	1.9719900000e-01	2.2024600000e-02
 14	1.5757000000e-03	4.1996900000e-02	3.4473220000e-01	9.5630000000e-04	3.4630790000e-01	4.4528900000e-02
 16	1.9548000000e-03	1.0986510000e-01	5.7140390000e-01	1.6866000000e-03	5.7335870000e-01	1.1350650000e-01
 18	2.0275000000e-03	2.5957880000e-01	9.7059140000e-01	2.6295000000e-03	9.7261890000e-01	2.6423580000e-01
 20	1.7923000000e-03	4.5715100000e-01	1.3842254000e+00	3.8958000000e-03	1.3860177000e+00	4.6283910000e-01
 22	1.9310000000e-03	6.8529400000e-01	2.1390223000e+00	4.9864000000e-03	2.1409533000e+00	6.9221140000e-01
 24	2.0412000000e-03	1.3526463000e+00	3.0331179000e+00	6.7063000000e-03	3.0351591000e+00	1.3613938000e+00
 26	2.3566000000e-03	2.2223393000e+00	4.5643187000e+00	1.6158700000e-02	4.5666753000e+00	2.2408546000e+00
 28	2.7034000000e-03	3.3363104000e+00	6.3415870000e+00	1.2442300000e-02	6.3442904000e+00	3.3514561000e+00
 30	2.0420000000e-03	4.7238081000e+00	8.6766195000e+00	1.5680100000e-02	8.6786615000e+00	4.7415302000e+00
 32	2.1056000000e-03	6.2865965000e+00	1.1578358700e+01	2.0924800000e-02	1.1580464300e+01	6.3096269000e+00
 34	3.5336000000e-03	1.1935047900e+01	1.5265303500e+01	2.8641900000e-02	1.5268837100e+01	1.1967223400e+01
 36	2.6287000000e-03	1.4464684400e+01	2.0789083200e+01	3.2275800000e-02	2.0791711900e+01	1.4499588900e+01
 38	2.5648000000e-03	2.0472273800e+01	2.6649294300e+01	4.2048500000e-02	2.6651859100e+01	2.0516887100e+01
 40	2.9242000000e-03	3.0365553000e+01	3.3910344400e+01	5.1472700000e-02	3.3913268600e+01	3.0419949900e+01
 42	3.1529000000e-03	4.6689137700e+01	4.3316955900e+01	6.4697300000e-02	4.3320108800e+01	4.6756987900e+01
 44	2.8474000000e-03	5.3986968800e+01	5.3865530400e+01	6.9392800000e-02	5.3868377800e+01	5.4059209000e+01
 46	2.8882000000e-03	6.5262491000e+01	6.6685461600e+01	8.3378200000e-02	6.6688349800e+01	6.5348757400e+01
 48	3.0078000000e-03	1.0664812510e+02	8.4145176800e+01	1.1703470000e-01	8.4148184600e+01	1.0676816760e+02
 50	3.7446000000e-03	1.5254383580e+02	1.0207824760e+02	1.2811550000e-01	1.0208199220e+02	1.5267569590e+02
