ADE	      t_cubatura	  t_compressione	           t_sys	         t_sys_c	       tot_senza	       tot_catch
  2	5.6779000000e-03	4.5475000000e-03	2.8038400000e-02	2.6363000000e-03	3.3716300000e-02	1.2861700000e-02
  4	1.5658000000e-03	1.0653000000e-03	9.6210000000e-03	2.4414000000e-03	1.1186800000e-02	5.0725000000e-03
  6	1.4891000000e-03	1.6689000000e-03	2.8696000000e-02	1.4360000000e-04	3.0185100000e-02	3.3016000000e-03
  8	1.4582000000e-03	4.6188000000e-03	3.9358700000e-02	1.7270000000e-04	4.0816900000e-02	6.2497000000e-03
 10	1.4923000000e-03	1.0066300000e-02	9.1164200000e-02	4.9740000000e-04	9.2656500000e-02	1.2056000000e-02
 12	1.4735000000e-03	2.0981100000e-02	1.8092480000e-01	6.4510000000e-04	1.8239830000e-01	2.3099700000e-02
 14	1.6457000000e-03	4.0263300000e-02	3.1130770000e-01	8.4030000000e-04	3.1295340000e-01	4.2749300000e-02
 16	1.6974000000e-03	1.0698310000e-01	5.3197840000e-01	1.3647000000e-03	5.3367580000e-01	1.1004520000e-01
 18	1.7151000000e-03	2.4358620000e-01	8.8573250000e-01	2.1827000000e-03	8.8744760000e-01	2.4748400000e-01
 20	1.8254000000e-03	4.4898100000e-01	1.2919876000e+00	2.9808000000e-03	1.2938130000e+00	4.5378720000e-01
 22	2.1179000000e-03	6.3977830000e-01	1.9241769000e+00	4.1911000000e-03	1.9262948000e+00	6.4608730000e-01
 24	2.2441000000e-03	1.3595209000e+00	2.7508202000e+00	5.4830000000e-03	2.7530643000e+00	1.3672480000e+00
 26	2.1656000000e-03	2.1599327000e+00	4.1399867000e+00	7.6134000000e-03	4.1421523000e+00	2.1697117000e+00
 28	2.0167000000e-03	3.0799497000e+00	5.7884309000e+00	9.5903000000e-03	5.7904476000e+00	3.0915567000e+00
 30	2.1852000000e-03	4.4242694000e+00	8.2074100000e+00	1.3246700000e-02	8.2095952000e+00	4.4397013000e+00
 32	2.4957000000e-03	5.9915599000e+00	1.1077532500e+01	1.8476500000e-02	1.1080028200e+01	6.0125321000e+00
 34	2.4487000000e-03	1.1394668900e+01	1.4573191200e+01	2.1039100000e-02	1.4575639900e+01	1.1418156700e+01
 36	2.7855000000e-03	1.3834565300e+01	1.9997520400e+01	2.6355800000e-02	2.0000305900e+01	1.3863706600e+01
 38	3.8120000000e-03	1.9583470000e+01	2.5109958900e+01	3.4771700000e-02	2.5113770900e+01	1.9622053700e+01
 40	3.0837000000e-03	2.9678201600e+01	3.3050556700e+01	4.2131200000e-02	3.3053640400e+01	2.9723416500e+01
 42	3.3150000000e-03	4.5557704400e+01	4.2160844300e+01	5.2660600000e-02	4.2164159300e+01	4.5613680000e+01
 44	3.0555000000e-03	5.4469983700e+01	5.3766102400e+01	6.5823500000e-02	5.3769157900e+01	5.4538862700e+01
 46	3.9947000000e-03	6.7211661700e+01	6.6240139100e+01	7.1369400000e-02	6.6244133800e+01	6.7287025800e+01
 48	2.9968000000e-03	9.9413415400e+01	7.5624950100e+01	9.7935900000e-02	7.5627946900e+01	9.9514348100e+01
 50	3.9926000000e-03	1.3897897170e+02	8.7911239400e+01	1.1400090000e-01	8.7915232000e+01	1.3909696520e+02
