ADE	      t_cubatura	  t_compressione	           t_sys	         t_sys_c	       tot_senza	       tot_catch
  2	1.5685000000e-03	1.2942000000e-03	2.3271000000e-03	1.6510000000e-04	3.8956000000e-03	3.0278000000e-03
  4	1.2213000000e-03	9.8360000000e-04	1.6061000000e-03	1.0300000000e-04	2.8274000000e-03	2.3079000000e-03
  6	1.2441000000e-03	1.8937000000e-03	5.6636000000e-03	2.3670000000e-04	6.9077000000e-03	3.3745000000e-03
  8	1.0728000000e-03	3.8296000000e-03	1.0322300000e-02	2.9770000000e-04	1.1395100000e-02	5.2001000000e-03
 10	1.6008000000e-03	7.5354000000e-03	1.4645000000e-02	3.7550000000e-04	1.6245800000e-02	9.5117000000e-03
 12	1.0277000000e-03	1.5853500000e-02	4.7157100000e-02	6.5930000000e-04	4.8184800000e-02	1.7540500000e-02
 14	1.1461000000e-03	2.4325500000e-02	4.8873100000e-02	1.1570000000e-03	5.0019200000e-02	2.6628600000e-02
 16	1.0330000000e-03	5.4851700000e-02	7.5948000000e-02	1.8007000000e-03	7.6981000000e-02	5.7685400000e-02
 18	1.1496000000e-03	1.2216460000e-01	1.1979390000e-01	2.6043000000e-03	1.2094350000e-01	1.2591850000e-01
 20	1.1310000000e-03	2.3338740000e-01	1.7352100000e-01	3.7603000000e-03	1.7465200000e-01	2.3827870000e-01
 22	1.1451000000e-03	3.4628200000e-01	2.4329370000e-01	5.2867000000e-03	2.4443880000e-01	3.5271380000e-01
 24	1.2024000000e-03	5.8256810000e-01	3.3826830000e-01	7.2621000000e-03	3.3947070000e-01	5.9103260000e-01
 26	1.4712000000e-03	1.0946604000e+00	5.0552350000e-01	1.0355500000e-02	5.0699470000e-01	1.1064871000e+00
 28	1.2009000000e-03	1.8283635000e+00	6.8696850000e-01	1.3539400000e-02	6.8816940000e-01	1.8431038000e+00
 30	1.2279000000e-03	2.6496046000e+00	9.3327720000e-01	1.7181400000e-02	9.3450510000e-01	2.6680139000e+00
 32	1.0630000000e-03	4.4627981000e+00	1.2219044000e+00	2.2289500000e-02	1.2229674000e+00	4.4861506000e+00
 34	1.2821000000e-03	5.7678666000e+00	1.5308703000e+00	3.1477100000e-02	1.5321524000e+00	5.8006258000e+00
 36	1.4408000000e-03	8.5037711000e+00	2.0303546000e+00	3.5457600000e-02	2.0317954000e+00	8.5406695000e+00
 38	1.2910000000e-03	1.1925644800e+01	2.5471647000e+00	4.2086600000e-02	2.5484557000e+00	1.1969022400e+01
 40	1.1374000000e-03	1.8537647900e+01	3.1338947000e+00	5.2124900000e-02	3.1350321000e+00	1.8590910200e+01
 42	1.3107000000e-03	2.4999456700e+01	4.0361727000e+00	6.3563500000e-02	4.0374834000e+00	2.5064330900e+01
 44	1.4179000000e-03	3.6651636100e+01	4.8741912000e+00	7.8515300000e-02	4.8756091000e+00	3.6731569300e+01
 46	1.3513000000e-03	5.4781637100e+01	5.9557187000e+00	9.4761600000e-02	5.9570700000e+00	5.4877750000e+01
 48	1.2028000000e-03	6.8729983000e+01	7.3637334000e+00	1.1532280000e-01	7.3649362000e+00	6.8846508600e+01
 50	1.2923000000e-03	1.0256335570e+02	8.6091505000e+00	1.4095640000e-01	8.6104428000e+00	1.0270560440e+02
