ADE	      t_cubatura	  t_compressione	           t_sys	         t_sys_c	       tot_senza	       tot_catch
  2	6.9990000000e-04	2.4280000000e-04	1.1544000000e-03	7.5600000000e-05	1.8543000000e-03	1.0183000000e-03
  4	1.3968000000e-03	8.4380000000e-04	2.2240000000e-04	8.1100000000e-05	1.6192000000e-03	2.3217000000e-03
  6	7.5890000000e-04	8.4750000000e-04	1.2732000000e-03	9.9700000000e-05	2.0321000000e-03	1.7061000000e-03
  8	6.4960000000e-04	2.2259000000e-03	3.5920000000e-04	1.7370000000e-04	1.0088000000e-03	3.0492000000e-03
 10	6.7240000000e-04	6.5986000000e-03	9.6600000000e-04	2.6430000000e-04	1.6384000000e-03	7.5353000000e-03
 12	6.4660000000e-04	8.9780000000e-03	1.0807000000e-03	5.0960000000e-04	1.7273000000e-03	1.0134200000e-02
 14	7.0830000000e-04	1.8951000000e-02	1.7833000000e-03	8.8350000000e-04	2.4916000000e-03	2.0542800000e-02
 16	7.4530000000e-04	6.4445100000e-02	3.1055000000e-03	1.5038000000e-03	3.8508000000e-03	6.6694200000e-02
 18	7.9440000000e-04	1.1601070000e-01	4.8831000000e-03	2.6957000000e-03	5.6775000000e-03	1.1950080000e-01
 20	7.5100000000e-04	1.5578490000e-01	5.6416000000e-03	2.9572000000e-03	6.3926000000e-03	1.5949310000e-01
 22	6.9380000000e-04	2.6798830000e-01	8.4076000000e-03	4.3911000000e-03	9.1014000000e-03	2.7307320000e-01
 24	8.9890000000e-04	4.4675420000e-01	1.2186400000e-02	6.5229000000e-03	1.3085300000e-02	4.5417600000e-01
 26	9.5530000000e-04	7.9146520000e-01	1.5916900000e-02	8.1761000000e-03	1.6872200000e-02	8.0059660000e-01
 28	6.9800000000e-04	1.4153858000e+00	2.7129600000e-02	1.3795900000e-02	2.7827600000e-02	1.4298797000e+00
 30	8.8460000000e-04	1.9459104000e+00	2.6827800000e-02	1.3502300000e-02	2.7712400000e-02	1.9602973000e+00
 32	7.1560000000e-04	2.8371563000e+00	4.3567900000e-02	2.2520700000e-02	4.4283500000e-02	2.8603926000e+00
 34	1.4850000000e-03	4.3569467000e+00	4.1701900000e-02	2.2125700000e-02	4.3186900000e-02	4.3805574000e+00
 36	7.2390000000e-04	5.5737423000e+00	6.3012300000e-02	3.1764900000e-02	6.3736200000e-02	5.6062311000e+00
 38	8.2850000000e-04	8.0293737000e+00	6.5723500000e-02	3.3014000000e-02	6.6552000000e-02	8.0632162000e+00
 40	1.0136000000e-03	1.2078782300e+01	1.0859740000e-01	5.6342500000e-02	1.0961100000e-01	1.2136138400e+01
 42	1.1504000000e-03	1.6599548600e+01	1.2491020000e-01	6.1408700000e-02	1.2606060000e-01	1.6662107700e+01
 44	1.0710000000e-03	2.6201211800e+01	1.2565120000e-01	6.2903700000e-02	1.2672220000e-01	2.6265186500e+01
 46	9.8510000000e-04	3.5203174600e+01	1.5486810000e-01	7.8214000000e-02	1.5585320000e-01	3.5282373700e+01
 48	9.9240000000e-04	6.5818684500e+01	2.1139890000e-01	1.0451240000e-01	2.1239130000e-01	6.5924189300e+01
 50	1.0298000000e-03	7.2917739100e+01	2.3619450000e-01	1.1880430000e-01	2.3722430000e-01	7.3037573200e+01
